# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz
6.649184998259562163e-02 9.354047929041228726e-02 2.558145844048042572e-01 1.224582926843532510e-01 2.910020670255812347e-01 1.993031003627340481e-01 2.516534379385297893e-01
6.992192634973112830e-02 1.044915848573652745e-01 2.958591227167614024e-01 1.390738048596590892e-01 2.489017472706575307e-01 2.147732900296756009e-01 3.479408624297968267e-01
7.497516045482140179e-02 2.110630590030450615e-01 3.027057959140656007e-01 1.498413496561204206e-01 3.055307798686738852e-01 2.246625448409811932e-01 2.277294152103915281e-01
8.639185230683132932e-02 1.097624308156621986e-01 1.881306887290328245e-01 8.709206548456976948e-02 1.716404457345605539e-01 1.359768392523597047e-01 1.406018680865060433e-01
9.034138806165496749e-02 7.542938709585160495e-02 2.178425088951853328e-01 1.347589821690506895e-01 2.497592306805999918e-01 2.124274368916495848e-01 2.492373586578575384e-01
9.064489181394398687e-02 1.079614684777460004e-01 3.608882592569324643e-01 1.936169422625515224e-01 4.029797854195528162e-01 2.665813153669855384e-01 2.588320421948411831e-01
9.268680598236554713e-02 1.035382448300969788e-01 3.939571777511140516e-01 1.761776054894872157e-01 3.548862310536011200e-01 2.428964191515105564e-01 3.076665994234814017e-01
9.434213510940675507e-02 1.434991400726032540e-01 5.759906896752372552e-01 3.432526716826514446e-01 4.696984204821353370e-01 3.668035350603711664e-01 3.914373244832710097e-01
9.515257516842669239e-02 6.021253576606191982e-02 1.757215064734981014e-01 1.124216567766807423e-01 2.417291521127013232e-01 1.956595076682767220e-01 1.549267786953256454e-01
9.519549234916764580e-02 1.472042980123494660e-01 4.228540805648906553e-01 2.345330543826538161e-01 3.246790640551975859e-01 2.813830463231518642e-01 3.370801750791190821e-01
1.012005414890416455e-01 1.234903783581716985e-01 1.910004859933039645e-01 1.040641197543502455e-01 2.346744453420533116e-01 1.785625240552002335e-01 2.167697040660339913e-01
1.048820023713453176e-01 9.930062146492917019e-02 2.466071454110463357e-01 1.590210019090281812e-01 2.765159877636732544e-01 2.457880915996279447e-01 2.665221019474610653e-01
1.068600701585353807e-01 1.160030959410529583e-01 2.904263790087296404e-01 1.943923279177432739e-01 3.644609946881927631e-01 5.232527059720064599e-01 3.658751953013927860e-01
1.107076225312559614e-01 7.962337827439634752e-02 7.636326161063917706e-01 5.458031273541247286e-01 5.822924659588115670e-01 3.342538736560684565e-01 5.309373718287436761e-01
1.117052651369799393e-01 2.058165468583529334e-01 2.131309960834469608e-01 1.843750141114680607e-01 2.796032413795122018e-01 2.037847544573256620e-01 2.059996784036687290e-01
1.119222041675189128e-01 1.378033067099657949e-01 2.822399114974155077e-01 1.676352580566024264e-01 3.678204667023360352e-01 2.492184034028823159e-01 2.696246567756565016e-01
1.126118900895845126e-01 1.523021317964703136e-01 3.910407016253567014e-01 2.275507661247397895e-01 5.226496819599322219e-01 3.988492549097608642e-01 3.939775505837820879e-01
1.128471244589725198e-01 1.025044806023257538e-01 3.978366858894440972e-01 1.908989128725507023e-01 3.244860091474772168e-01 2.470947596301144022e-01 3.170489340666832190e-01
1.139041740065174224e-01 1.208012573877532275e-01 4.057274615269465534e-01 1.578749754242813608e-01 3.291121607745995936e-01 2.069948673893941271e-01 2.174431464020356031e-01
1.145233305492863174e-01 1.892142005528203164e-01 3.285309556985777091e-01 1.904950458459744589e-01 3.832438251969765286e-01 2.870150585908277097e-01 2.626621212661837124e-01
1.147918053986319992e-01 1.470223084026132943e-01 2.968402294267415975e-01 2.097546983850367142e-01 3.725693442926736876e-01 3.218473761948576484e-01 2.467910408874472161e-01
1.176178500665179261e-01 1.582480085774502776e-01 2.557204214009164422e-01 1.660037040344447823e-01 2.833567967387004005e-01 2.852052145587286036e-01 3.067686735144621313e-01
1.178738951337647139e-01 1.907129306443614281e-01 3.440838040471807524e-01 1.946902199814931622e-01 3.328838345817828892e-01 2.435344698577052991e-01 3.061587855911588885e-01
1.194318258461906229e-01 7.982872514326566638e-02 2.492994723911402533e-01 1.274144675542200067e-01 2.689324661890958312e-01 2.202902865094514551e-01 2.618412695374867649e-01
1.204337447824652130e-01 1.792310549802095809e-01 1.896109889617564326e-01 9.118689943428065492e-02 2.039802926976897191e-01 1.544738151659717229e-01 1.726156699202680278e-01
1.210376732118371296e-01 1.447056883589074583e-01 4.015244572207333773e-01 2.485217663426610157e-01 4.779062718358533801e-01 4.444166908078229228e-01 3.214067403998112638e-01
1.218681649336680051e-01 1.234263448585607437e-01 2.584231857109038910e-01 1.800382397258161737e-01 3.205642250593856435e-01 2.314807885333999560e-01 2.725902521854579041e-01
1.224864159804195662e-01 2.746462861302000347e-01 2.524751925982932632e-01 1.998881770921954737e-01 3.693557112893497973e-01 2.907447031907505197e-01 2.238383853531665246e-01
1.251194440185151302e-01 1.747965286284646202e-01 2.382034993428251701e-01 1.660411394335709057e-01 2.877774418103763998e-01 2.636298484967279365e-01 3.660608327595000766e-01
1.254154416902834857e-01 8.848858149354862923e-02 3.973483751467435932e-01 2.428616707427287691e-01 3.683309368326790345e-01 2.714684473441933976e-01 2.886282397229468777e-01
1.293947425322062583e-01 2.460033480995439115e-01 3.182887216714088696e-01 2.825010691064348545e-01 4.357169074072154702e-01 3.478551280591153372e-01 2.610052721346518556e-01
1.310634171433082973e-01 2.117294303169311442e-01 4.089729361915432349e-01 2.069231097394089725e-01 3.749996166059462732e-01 3.357975572160988853e-01 3.948363734743915443e-01
1.319688383510907725e-01 9.622177820729574393e-02 4.862318942583780945e-01 1.589607232496180744e-01 4.783701247009243263e-01 3.259171015771485380e-01 5.203953834293635339e-01
1.320297097961234956e-01 2.977593294863636886e-01 3.720049876095519181e-01 3.671349768121221491e-01 5.289865370195191430e-01 3.795935858870549406e-01 2.716825236754337181e-01
1.321215221858567934e-01 1.598620831061967618e-01 2.394298462234228375e-01 1.908377137356697117e-01 3.064581559332261729e-01 2.538913196840983377e-01 1.899243687564510230e-01
1.322124947627340563e-01 2.600798037523832096e-01 6.158804676092283215e-01 5.397400773779179595e-01 5.641144794204924207e-01 4.761435473220689829e-01 5.367262936334755707e-01
1.332763149713447060e-01 1.200371869339378755e-01 4.107188078254621066e-01 2.330385257466419391e-01 4.927055415708637698e-01 4.098354877060468304e-01 4.400690297059268175e-01
1.343888554142719516e-01 2.477042063233132196e-01 2.623821549958770816e-01 2.786285772304203934e-01 3.306908410660829856e-01 3.029134085020132594e-01 2.980805793248300639e-01
1.366737541955941049e-01 1.024030016915762203e-01 2.550295375037098244e-01 1.466552470295572341e-01 2.668698412308574963e-01 2.144952674234201495e-01 2.627426109941878862e-01
1.369838161810280064e-01 1.948459687999821166e-01 1.085453517245991595e+00 8.027573523254598609e-01 9.842291499861169912e-01 8.339140944349477946e-01 9.405795308818160061e-01
1.372912548666821719e-01 1.720570654788088072e-01 7.769740622940163322e-01 5.514778070757271333e-01 9.499347756143146082e-01 6.735627600078580857e-01 6.049425509065059492e-01
1.373886115362095151e-01 2.500122405689253480e-01 3.952075406822021519e-01 2.389225079827489995e-01 3.307204218913520899e-01 2.752139544424005435e-01 3.186821157840046270e-01
1.385894767278146034e-01 1.479090321156961430e-01 4.514222208764574473e-01 2.415725926927356493e-01 4.013988940130104321e-01 2.544599925294519505e-01 3.748789861894918918e-01
