# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz sactiv sinactiv
9.791886717580217114e-02 1.426980802758804345e-01 2.634308613251821196e-01 1.704484846926086761e-01 3.596826070516220275e-01 2.814087785488819105e-01 2.402397199697215158e-01 9.709035963386071499e-02 5.764729616711467691e-02
9.855023500216067434e-02 8.161913875781695582e-02 3.014699107245932264e-01 1.858319558305291663e-01 2.207624245547349928e-01 1.791819324904619926e-01 2.572829769794086063e-01 4.847434599358935864e-02 1.127492495223803709e-01
1.008530962987110452e-01 2.247140789245667403e-01 8.963552352509150944e-01 5.148214414195970701e-01 7.860522419901928570e-01 6.731896415537323985e-01 4.223546858012228733e-01 6.800515194580127043e-02 1.979590583164224649e-01
1.030842701451059884e-01 2.088380901650038479e-01 2.393145772389754511e-01 2.632875946861089611e-01 2.933162854378661977e-01 2.663076596676590135e-01 2.278671285423203019e-01 1.375916466970601437e-01 2.646272402829394355e-01
1.055075142527242410e-01 1.222577490451306620e-01 6.675239207013266007e-01 4.729889184871265972e-01 6.145219772178550643e-01 5.209268724569906528e-01 5.059572774686084129e-01 4.187653287717777589e-02 6.170123086286270764e-02
1.071834699923870510e-01 1.156768716424592808e-01 3.701419429996182231e-01 2.443251905050750905e-01 3.600676006038055488e-01 2.951156090304875024e-01 3.696424624189186270e-01 6.450237993901487832e-02 1.994365001551937078e-01
1.075567321407296661e-01 2.510620303842944767e-01 7.265824478680903420e-01 3.723073064646896246e-01 6.945422241606854508e-01 5.035638641513963121e-01 4.129528263213753658e-01 8.886780129728620581e-02 7.508586674278150408e-02
1.075825160398551639e-01 2.466683921993557682e-01 3.472195577575903358e-01 3.426889878529341682e-01 3.869950844355163344e-01 3.430818329167530378e-01 2.749050614481586274e-01 1.221667778863485265e-01 3.019376779700427282e-01
1.078230107008782135e-01 1.309161544642404862e-01 2.557042920019715893e-01 1.477505375413611377e-01 2.939080576603596562e-01 2.130723415681160249e-01 2.193698446856521822e-01 4.432528719965402736e-02 1.227135983052847490e-01
1.079063313366629001e-01 3.555022363359387483e-01 3.212042577268902632e-01 3.412704913280622532e-01 3.732848440880572882e-01 3.471112880992842098e-01 2.678799135922238506e-01 9.591076648680006700e-02 5.662844635831393303e-02
1.115770849591793262e-01 3.155628857974808188e-01 3.172419203428399892e-01 2.780263990388555650e-01 4.562795643101172915e-01 3.533439107616926367e-01 2.439760766307687845e-01 8.579838764822880770e-02 1.652455300767413093e-01
1.120050019759482735e-01 1.037841543960073415e-01 7.618642191727225121e-01 4.082956674476554970e-01 5.327219760335925036e-01 4.959126096657794913e-01 4.340217243252356139e-01 6.605998686518348151e-02 1.703281797194894087e-01
1.129412699185336350e-01 2.456776434056571756e-01 5.540529144123050864e-01 1.893043207642644832e-01 4.136600239972457183e-01 3.137710310501680144e-01 4.592736941557566954e-01 6.525926974782023104e-02 1.425279515927846685e-01
1.158155386251969871e-01 2.193207605654085568e-01 3.083665792401457661e-01 2.327969361109309410e-01 4.201203087937281921e-01 2.910477531158892628e-01 2.134859710304460867e-01 8.076880781275530552e-02 1.903169706455072052e-01
1.164584841854102853e-01 1.917981789765349776e-01 2.106638315370189529e-01 1.630146355239203704e-01 3.280675856176734628e-01 2.395581747443595033e-01 2.530872695369127956e-01 8.177399839700864870e-02 1.318999121065010383e-01
1.164590268897454234e-01 3.200348849024907683e-01 2.988328765805799425e-01 2.759310424922906124e-01 4.438440543071590083e-01 3.057082300410444153e-01 2.334812242559714535e-01 1.025248191454999347e-01 1.482506784344614359e-01
1.198293250180057917e-01 1.734315551128736976e-01 4.164247864677959043e-01 2.311886876269713398e-01 4.363353409955340600e-01 3.508266988917628781e-01 3.501082598244484867e-01 6.579626203705769838e-02 1.361052796359486228e-01
1.213761293470517894e-01 2.553781221275861490e-01 2.697965753780416365e-01 3.164116455568228847e-01 3.509702888227220763e-01 2.703890135036982056e-01 1.980668703430016053e-01 1.141736099130335469e-01 1.893024924360178496e-01
1.229118695410876677e-01 1.217935441379128791e-01 2.849569135954561072e-01 1.799890833688210234e-01 3.735761541259238760e-01 2.752078873146039384e-01 2.683787750564213814e-01 6.734165381836665354e-02 1.459221635848178544e-01
1.229280666204174283e-01 1.121539266046407551e-01 9.734057668719052758e-01 6.772118555783547267e-01 9.132389361037418496e-01 8.219130750289983522e-01 8.399191820328691938e-01 1.130449089759007208e-01 1.467019964706994251e-01
1.236276115050935348e-01 1.203451701409676416e-01 6.228789952685661602e-01 3.931573843683229263e-01 6.263537095656634968e-01 4.586493929187089869e-01 4.748777725585430765e-01 1.057620083142668255e-01 1.624353603135023083e-01
1.258736686509935032e-01 3.623267540562090661e-01 4.187775791265549441e-01 4.143384213262268911e-01 4.656845208298895922e-01 4.059598002636696790e-01 3.124139422565997415e-01 1.700539712078315002e-01 2.475423416607418214e-01
1.266990219259950812e-01 1.674018180050436955e-01 3.872592934262562570e-01 2.144556409410753040e-01 3.267917260029175042e-01 3.404004507877579355e-01 3.528528195542557921e-01 9.439126637111865115e-02 1.473737766929451021e-01
1.268677754322712625e-01 1.030498845665225455e-01 4.443023435030220569e-01 2.564674845593158392e-01 4.371881146766680715e-01 4.103946473347302448e-01 4.929211594198134039e-01 7.859071210930358709e-02 1.571524627369191296e-01
1.285430851613743597e-01 2.602566556313749002e-01 5.658751239651743647e-01 2.797207229894685954e-01 5.373807856427073038e-01 3.900746191638733151e-01 4.715992871530036989e-01 1.453723783053916807e-01 1.237923290560201811e-01
1.304091952337805560e-01 1.010755739489252319e-01 3.962231986612006485e-01 2.533160534936542141e-01 3.911340730924017794e-01 4.001554016339503583e-01 6.685253257908910784e-01 9.185393447537779088e-02 1.615841389619634971e-01
1.313318921394491523e-01 1.473410749432761402e-01 4.261690690414512428e-01 3.714626785935685738e-01 5.125299176438109505e-01 4.085880507264250672e-01 4.224315719147012649e-01 8.296005261218805660e-02 1.857140660530465504e-01
1.314221674593250011e-01 8.275414420967924789e-02 2.894361261476361413e-01 1.667400810258365673e-01 3.427013206176361404e-01 2.903286571619330125e-01 3.433663392767629108e-01 7.284364696364041547e-02 2.945917047340709249e-01
1.327103884547134460e-01 1.559426151457249665e-01 4.075061743589691865e-01 2.766168430755720498e-01 5.637874403647415988e-01 4.674776279899909293e-01 6.085778509739959707e-01 6.574957496140965141e-02 4.932077848023813660e-01
