"x","y"
-99.866, 1.0009
-89.881, 0.98118
-80.016, 0.98422
-69.79, 0.94325
-59.935, 0.86434
-49.957, 0.7915
-39.979, 0.71108
-29.882, 0.62155
-19.784, 0.52595
-9.8099, 0.42428
 0.16508, 0.32564
 10.142, 0.24067
 19.998, 0.16783
 29.979, 0.11775
 39.962, 0.082853
