# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz
6.357611127844269017e-02 7.924556974102872631e-02 9.860189476975622647e-01 5.750734430741266667e-01 5.782652919709678763e-01 7.530134718095922164e-01 6.211023175945623587e-01
6.641392470158802297e-02 2.110507576276108854e-01 1.174260857598907748e+00 1.023912821753566238e+00 9.370995415694007846e-01 8.786307986126875580e-01 6.942929339270164091e-01
6.806857973100562120e-02 5.702848455247975235e-01 1.183615356090645054e+00 6.624704102543043094e-01 7.382242824493515654e-01 8.542252919625750174e-01 5.922261102225213625e-01
6.886513855891497615e-02 2.092630567162425403e-01 1.057448083857382537e+00 8.335009182563219987e-01 7.208691264618051209e-01 6.917239382453611585e-01 4.994935898624679460e-01
7.588516374525150487e-02 1.802615353644854701e-01 6.785551320636271644e-01 6.248765896629160377e-01 6.769058775310793363e-01 7.712498828581908494e-01 6.290691112023961695e-01
8.086019960085678859e-02 5.204312704085272134e-01 1.156400048250578294e+00 1.431526773441467837e+00 9.786809483080495253e-01 9.643240289502688078e-01 1.071786506503788372e+00
8.238876634502102780e-02 1.996359661893708781e-01 1.154769557403144686e+00 7.660576121762999735e-01 9.016785935466069546e-01 1.052944254325828943e+00 7.384556902089778330e-01
8.298714711226964913e-02 5.154291125020116215e-01 9.333756613605224128e-01 7.029386348517395744e-01 7.903762498148737548e-01 1.023883083597639132e+00 6.942296704086440284e-01
8.334393068313132591e-02 4.192010275192444846e-01 1.168641241445069978e+00 1.073978955778354116e+00 1.139794803793788169e+00 1.154972969401140137e+00 8.200823824164527043e-01
8.382591549108575624e-02 8.677126588441679000e-02 8.393857219941637249e-01 5.431662373282781786e-01 7.087884369444658050e-01 5.784672513496136315e-01 4.885782021978892220e-01
8.576203564123659195e-02 2.499171817727244005e-01 1.171556255232284016e+00 1.061303409644997142e+00 7.903226090349894095e-01 9.729786812066113511e-01 8.244201478863885102e-01
8.924083964143596226e-02 1.398776871782153597e-01 1.029742779286575649e+00 1.135224059623001880e+00 8.768057424373953967e-01 9.264526116586638826e-01 6.160718893579154587e-01
8.934001582771335104e-02 6.034846257750458021e-01 1.657123685756514364e+00 1.351692894534026301e+00 1.407056414211345086e+00 1.693106580414886153e+00 1.168745324080463277e+00
9.185889148435076590e-02 1.034890039480386437e-01 7.804236518840074188e-01 5.369809521634048011e-01 6.393772959245038745e-01 6.959113816307678224e-01 6.964027989123432461e-01
