# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz sactiv sinactiv
6.357611127870478607e-02 7.924556974201452109e-02 9.860189478678599295e-01 5.750734433759001618e-01 5.782652920874319369e-01 7.530134719628065465e-01 6.211023177130280404e-01 1.537283867530172266e-01 2.906518846328879913e-01
6.641392470251675229e-02 2.110507576278388420e-01 1.174260858208668878e+00 1.023912822990098226e+00 9.370995420556844646e-01 8.786307991600366130e-01 6.942929343506146767e-01 1.905125743570241711e-02 3.162600361807159643e-01
6.806857973127276862e-02 5.702848455234714731e-01 1.183615356947602670e+00 6.624704111014678709e-01 7.382242825814070430e-01 8.542252924985861418e-01 5.922261108858828393e-01 3.494201012087424368e-02 3.684816231558271094e-01
6.886513856129965194e-02 2.092630567172885092e-01 1.057448095687085754e+00 8.335009192904992981e-01 7.208691265704588735e-01 6.917239384456452811e-01 4.994935900604693391e-01 7.196453248572150241e-02 3.299486852125071423e-01
7.588516374651109453e-02 1.802615353643304830e-01 6.785551324811232021e-01 6.248765905039195268e-01 6.769058778974073043e-01 7.712498832785574798e-01 6.290691115366484620e-01 5.516144128466402008e-02 2.895594014568821373e-01
8.086019960116845595e-02 5.204312704085242158e-01 1.156400048359528254e+00 1.431526773612106007e+00 9.786809483930650755e-01 9.643240290351898780e-01 1.071786506582449672e+00 4.004784965394839885e-02 2.719606766783678742e-01
8.238876634622345485e-02 1.996359661904366922e-01 1.154769557908807309e+00 7.660576123523676895e-01 9.016785938644936715e-01 1.052944254749232700e+00 7.384556904654430154e-01 5.879792441793545849e-02 2.966258715644178867e-01
8.298714711341989569e-02 5.154291125034645704e-01 9.333756620734996456e-01 7.029386353600273196e-01 7.903762501516259364e-01 1.023883084308630398e+00 6.942296710222656264e-01 7.966187426338923808e-03 3.649984309108150748e-01
8.334393068448844866e-02 4.192010275201876190e-01 1.168641242169240924e+00 1.073978956356015591e+00 1.139794806875989996e+00 1.154972974573778899e+00 8.200823903430919382e-01 2.022152462723006763e-02 4.038916710295060164e-01
8.382591549168054434e-02 8.677126588492754811e-02 8.393857224697116592e-01 5.431662383825803797e-01 7.087884371669747052e-01 5.784672516818907262e-01 4.885782025118179384e-01 1.023737219905561519e-01 2.768644711513717493e-01
8.576203564201249907e-02 2.499171817723702393e-01 1.171556256035322097e+00 1.061303410669207636e+00 7.903226092846401540e-01 9.729786818297778694e-01 8.244201485547855146e-01 6.152341814919740082e-02 2.580666875131156224e-01
