# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz
7.424940242374079846e-02 1.740199687055622724e-01 5.299360759691075229e-01 4.265160818156127354e-01 5.045616852709866595e-01 5.314143606601652303e-01 4.968184085846995002e-01
7.541507271693773107e-02 8.692101809288020620e-02 7.234146693552856444e-01 5.868235300056157122e-01 7.438196739992326556e-01 6.686862002124978055e-01 6.509637400673479180e-01
8.809787640696846445e-02 3.601657687132603369e-01 3.534901050636267139e-01 3.056453297057647456e-01 4.741087441715549078e-01 3.491092600196092910e-01 3.189623237295474700e-01
8.967723231492381875e-02 2.127830494352308255e-01 3.084356769280091615e-01 2.380356615125555908e-01 2.849992752400110629e-01 2.754052943868060543e-01 3.594220420706534802e-01
9.196999562169753950e-02 1.584377311782967923e-01 1.259876151700473290e+00 1.518920984429438681e+00 1.284540843493720441e+00 9.915580435986562913e-01 8.647959683983662549e-01
9.333915858078556393e-02 1.475458770141762077e-01 1.008616971756498337e+00 6.248255652133892779e-01 1.032275453404229104e+00 8.636526600462118841e-01 6.964084976615732003e-01
9.479379853100416975e-02 1.063270387637892250e-01 1.598550528281143412e+00 1.405671285222404032e+00 1.578616858970620873e+00 1.238958794897740967e+00 1.416776714552473893e+00
9.553650237721975080e-02 2.140922082059764642e-01 7.371953818974285033e-01 4.330073023845150693e-01 7.144226754111085986e-01 6.180594076231739065e-01 4.979541557306594868e-01
9.646062072559886957e-02 1.789805148499181153e-01 4.011353522086313350e-01 2.903888822872191522e-01 4.781522012548177214e-01 4.480993256644213996e-01 4.455527229045634363e-01
9.650998011140171640e-02 1.487703182707357241e-01 1.016505873369079049e+00 9.221688685532924978e-01 9.348105325439475255e-01 1.070544304847025119e+00 8.284373668101090438e-01
1.007945557098446909e-01 1.569586413645903678e-01 8.255224302590312702e-01 5.143045899955471789e-01 8.223817601912210007e-01 7.141806200041920238e-01 5.196624259268852741e-01
1.017531243785768647e-01 9.185851820455556704e-02 6.684346460067746021e-01 6.541832343605735733e-01 6.720547395942858548e-01 7.460743788970876089e-01 4.782093995249145357e-01
1.027234342666906164e-01 2.788587017365128928e-01 3.727683034512027649e-01 2.832986686668748644e-01 4.299843293846267178e-01 4.303469252625894415e-01 3.586225686818790837e-01
1.030127452492044099e-01 3.088929067254255201e-01 2.873104174016379297e-01 2.425198583429006849e-01 4.140600652565185613e-01 3.208731635281873440e-01 2.907707086253699114e-01
1.051192456903257827e-01 1.652105568276270586e-01 8.303943738916834683e-01 7.244974983822178860e-01 8.148498074531735913e-01 7.829031205920951031e-01 7.359122071186746661e-01
1.051472751483118057e-01 2.811404101939823375e-01 6.832353107601165654e-01 3.478267868244368510e-01 8.982734459598104015e-01 4.522809404077738349e-01 3.559619679895758559e-01
1.067142726987296425e-01 1.489487135755050984e-01 8.677703732416782723e-01 5.067620003754369495e-01 4.645756733481584688e-01 5.285806464815701045e-01 5.621400993422585035e-01
1.079301137208754646e-01 1.547091440571600196e-01 1.095817092720153818e+00 1.098738312173488385e+00 8.401141987445456261e-01 8.486751867863939758e-01 7.040423999609690675e-01
1.085058289655960184e-01 2.996843602080990210e-01 3.065082939966911613e-01 2.196322591721481532e-01 4.356920232491431344e-01 3.717173760143014372e-01 3.289111051387289542e-01
1.085097877742325356e-01 1.831654618282245739e-01 6.154082552993259680e-01 4.667514616639970026e-01 6.863038971954148471e-01 4.684626244865108258e-01 5.476527593044268061e-01
1.087776476767693401e-01 2.956945938701313059e-01 4.437584556045596762e-01 2.679587565134988192e-01 4.835529920127074055e-01 3.516366528785666579e-01 2.592297198290867688e-01
1.096865362827928320e-01 2.126067335263975566e-01 1.991747963901402962e-01 1.782378670668624543e-01 2.655022577453269861e-01 2.149606699448107783e-01 2.532931689348415505e-01
1.097345988578983522e-01 1.601202735363957130e-01 2.891417685492647660e-01 2.362319199242025880e-01 3.449478055732941861e-01 2.600872904712817624e-01 2.868191636291032576e-01
1.099715501338477397e-01 1.551053143409002466e-01 4.031891225127793854e-01 2.873199093945413285e-01 6.294191088074498897e-01 4.914361668938543315e-01 3.299827595592402796e-01
1.102819088957519428e-01 1.539491315026924878e-01 4.900534575301769280e-01 3.129024738401701700e-01 5.502498237396141745e-01 4.468696360775963883e-01 3.524230401583841599e-01
1.117146761447241621e-01 1.926298729168766377e-01 1.052634766821792578e+00 5.707320365866644929e-01 9.557913073177992658e-01 9.034388902858282444e-01 5.512358486152769688e-01
1.123084849699854809e-01 2.270063261466080951e-01 3.271175660751557412e-01 2.537797946263573023e-01 4.278448870482351452e-01 3.324814596916273457e-01 3.223638121451707916e-01
1.123936667403034606e-01 1.936933256282065419e-01 1.090658749280485118e+00 1.431030686143403674e+00 1.033792806218431837e+00 1.401383583403615685e+00 7.393001845963285135e-01
1.127435887518037638e-01 9.797168252879517869e-02 9.464644960861446910e-01 5.379974107464111643e-01 7.784664217637521366e-01 7.567314262952978821e-01 6.259782419938200171e-01
1.130692414721191502e-01 4.812072292043920729e-01 1.847979831061047129e+00 1.335039493157997859e+00 1.104800501311528960e+00 9.881502054647727240e-01 1.430551104403847251e+00
1.130887589318036873e-01 2.400857552026730013e-01 2.678609383362633434e-01 2.418386564798388760e-01 3.571828076569076305e-01 2.669361121181573204e-01 2.616916637703405324e-01
1.139790638733150091e-01 2.894155724401357155e-01 2.294676774799624674e-01 2.351741113497451963e-01 3.335090823484635481e-01 2.630586436965342001e-01 3.455946073201706104e-01
1.143581050680098493e-01 8.585925865012720981e-02 5.571100313845032126e-01 2.868547877580394645e-01 5.400550615244684716e-01 4.782248678714866030e-01 6.023546754329898167e-01
1.146087683124247247e-01 2.184877132932839527e-01 5.809335730551978827e-01 4.054512284457702509e-01 5.399441093997937591e-01 4.621149326894904430e-01 4.931107484713257438e-01
1.154881288592099209e-01 1.362358442176033191e-01 1.307149481824870119e+00 8.937256476066977040e-01 9.405444476416506827e-01 9.309180810034096698e-01 9.168850481796608776e-01
1.156636189792843994e-01 1.853152861270179752e-01 1.225004234167340833e+00 1.005199499665489160e+00 1.049432794988782280e+00 6.565991036877841802e-01 1.025708406729884503e+00
1.173599390040121621e-01 2.346549182809112288e-01 3.946571296129703921e-01 1.895163787653975918e-01 3.776855092263472491e-01 3.136472266473260273e-01 3.053122557581211538e-01
1.175196720224664232e-01 2.641213673047363431e-01 3.441493254097908738e-01 2.534397547255934913e-01 3.611432863292275974e-01 3.095969472141326673e-01 3.659628757042415748e-01
1.189871016281858623e-01 2.147337630365553918e-01 2.669179450793764952e-01 1.904915034635253079e-01 3.332028585986100411e-01 2.616390441807656675e-01 2.226189096546667689e-01
1.193078927779934323e-01 1.684312149178333329e-01 1.166892200706193705e+00 9.713015089275351954e-01 1.032111343740309328e+00 1.274348719736689395e+00 1.220166772026951341e+00
1.194726174809227492e-01 9.153475388626321207e-02 8.064855301342267468e-01 7.316705751619074771e-01 7.967253322630588608e-01 6.042368679792905484e-01 8.378924080672286445e-01
1.196596167304299907e-01 1.737587441418223799e-01 1.112185966674386073e+00 7.406638870900285054e-01 9.580564004759076768e-01 8.431148694726912085e-01 8.560158278508399610e-01
1.215408588986541666e-01 1.166858239656316520e-01 5.656667456704073116e-01 3.416938657632584975e-01 4.797942763014046985e-01 4.971210135069827896e-01 4.902359991781465864e-01
1.227881895287941810e-01 1.387526140609340597e-01 7.435837668725244765e-01 4.740792995821251354e-01 4.953768425217282556e-01 4.897501008457911809e-01 5.978666877663718626e-01
1.228155916957146543e-01 1.509774617495016902e-01 1.173086729928069616e+00 1.319350884868432328e+00 8.382924131476141572e-01 1.322596821950923429e+00 9.385184157397693516e-01
1.228822994059470958e-01 1.682478673238394784e-01 4.935400750066119002e-01 2.315976643133185187e-01 6.643359808094740915e-01 4.600103389789073072e-01 3.778522145931502707e-01
1.235372645959469523e-01 1.916217177085635381e-01 8.262153622104380091e-01 4.576612322227874285e-01 7.468555758326635985e-01 6.654365755479384470e-01 6.554304899758676139e-01
1.238833724549447124e-01 1.634996282244789434e-01 1.168463949514008338e+00 1.224769935733406978e+00 9.653585192104144896e-01 8.842860737973486929e-01 9.083351641593260251e-01
1.242037765911859909e-01 2.544399600284809604e-01 5.698456226066600516e-01 2.862225351146639452e-01 5.400944581373811060e-01 5.392072504983084213e-01 5.413598532712298184e-01
1.243047986593377729e-01 1.684514862316769945e-01 8.296690385576408477e-01 1.037084017899063682e+00 1.037215536792125858e+00 9.643131778373733587e-01 9.856178542255770170e-01
1.246471880688555661e-01 3.147939309456768142e-01 6.910528646987086354e-01 6.205083710604232250e-01 8.440833800099895035e-01 6.925259517412680754e-01 4.625870524694697949e-01
1.252576779436958276e-01 3.187101197133901942e-01 3.232404240559401121e-01 2.641092653994994155e-01 4.274687992422885330e-01 2.857208687051761009e-01 2.445151896158671845e-01
1.260772708413312737e-01 2.041079098344798781e-01 6.316774113837263505e-01 3.754152085213125489e-01 5.905015205826564806e-01 4.085048813625477560e-01 4.668661505966140712e-01
1.268053738441729528e-01 1.256419450076748379e-01 2.210766022980907408e+00 7.172658781558804986e-01 1.207271793429466555e+00 1.492833320067763259e+00 1.516729576001662361e+00
