"time","voltage"
0.000000000000000000e+00,-8.478050000000000352e+01
1.000000000000000048e-04,-8.478050000000000352e+01
2.000000000000000096e-04,-8.478050000000000352e+01
3.000000000000000279e-04,-8.478050000000000352e+01
4.000000000000000192e-04,-8.478050000000000352e+01
5.000000000000000104e-04,-8.478050000000000352e+01
6.000000000000000559e-04,-8.478050000000000352e+01
6.999999999999999929e-04,-8.478050000000000352e+01
8.000000000000000383e-04,-8.478050000000000352e+01
9.000000000000000838e-04,-8.478050000000000352e+01
1.000000000000000021e-03,-8.478050000000000352e+01
1.100000000000000066e-03,-8.478050000000000352e+01
1.200000000000000112e-03,-8.478050000000000352e+01
1.300000000000000157e-03,-8.478050000000000352e+01
1.399999999999999986e-03,-8.478050000000000352e+01
1.500000000000000031e-03,-8.478050000000000352e+01
1.600000000000000077e-03,-8.478050000000000352e+01
1.700000000000000122e-03,-8.478050000000000352e+01
1.800000000000000168e-03,-8.478050000000000352e+01
1.899999999999999996e-03,-8.478050000000000352e+01
2.000000000000000042e-03,-8.478050000000000352e+01
2.100000000000000304e-03,-8.478050000000000352e+01
2.200000000000000133e-03,-8.478050000000000352e+01
2.299999999999999961e-03,-8.478050000000000352e+01
2.400000000000000223e-03,-8.478050000000000352e+01
2.500000000000000052e-03,-8.478050000000000352e+01
2.600000000000000314e-03,-8.478050000000000352e+01
2.700000000000000143e-03,-8.478050000000000352e+01
2.799999999999999972e-03,-8.478050000000000352e+01
2.900000000000000234e-03,-8.478050000000000352e+01
3.000000000000000062e-03,-8.478050000000000352e+01
3.100000000000000325e-03,-8.478050000000000352e+01
3.200000000000000153e-03,-8.478050000000000352e+01
3.299999999999999982e-03,-8.478050000000000352e+01
3.400000000000000244e-03,-8.478050000000000352e+01
3.500000000000000073e-03,-8.478050000000000352e+01
3.600000000000000335e-03,-8.478050000000000352e+01
3.700000000000000164e-03,-8.478050000000000352e+01
3.799999999999999992e-03,-8.478050000000000352e+01
3.900000000000000255e-03,-8.478050000000000352e+01
4.000000000000000083e-03,-8.478050000000000352e+01
